Марка;Ссылка;Цена в $;Цена в грн;Город
Audi Q8 2021Basis 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q8-1854151.html;84 200 $;2 326 219 грн;Киев
Audi SQ8 2020Basis 4.0 TDI Tiptronic (435 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-sq8-1861604.html;113 879 $;3 164 489 грн;Днепр (Днепропетровск)
Audi Q3 2021Advanced 35 TFSI S-tronic (150 л.с.);https://auto.ria.com/newauto/auto-audi-q3-1861582.html;48 300 $;1 334 399 грн;Киев
Audi Q7 2021S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1861232.html;89 800 $;2 480 932 грн;Киев
Audi RS Q8 20214.0 TFSI S-tronic (600 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-rs-q8-1860578.html;177 777 $;4 911 499 грн;Киев
Audi Q7 2021S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1861235.html;88 500 $;2 445 016 грн;Киев
Audi A8 2021Individual L 50 TDI Tip-tronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-a8-1860983.html;88 063 $;2 440 984 грн;Запорожье
Audi Q5 2020Basis 40 TDI S-tronic (204 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q5-1858973.html;71 921 $;1 993 537 грн;Запорожье
Audi Q7 2021S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1859458.html;85 249 $;2 368 894 грн;Днепр (Днепропетровск)
Audi Q7 2020Basis 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1860339.html;91 263 $;2 521 357 грн;Киев
Audi SQ8 2021Basis 4.0 TDI Tiptronic (435 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-sq8-1861328.html;167 876 $;4 637 957 грн;Киев
Audi Q5 2020Basis 40 TDI S-tronic (204 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q5-1858486.html;71 921 $;1 993 537 грн;Запорожье
Audi Q8 2020S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q8-1857334.html;98 616 $;2 724 494 грн;Днепр (Днепропетровск)
Audi A6 2020Sport 40 TFSI 2.0 S-tronic (190 л.с.);https://auto.ria.com/newauto/auto-audi-a6-1856304.html;58 346 $;1 611 954 грн;Киев
Audi RS Q8 20214.0 TFSI S-tronic (600 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-rs-q8-1857950.html;152 324 $;4 232 791 грн;Днепр (Днепропетровск)
Audi SQ7 2021Basis 4.0 TFSI Tip-tronic (507 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-sq7-1861456.html;134 444 $;3 714 325 грн;Киев
Audi Q8 2021S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q8-1861458.html;109 047 $;3 030 217 грн;Днепр (Днепропетровск)
Audi Q7 2020S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1857353.html;95 340 $;2 633 994 грн;Киев
Audi RS Q8 20214.0 TFSI S-tronic (600 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-rs-q8-1856847.html;240 392 $;6 641 386 грн;Киев
Audi Q7 2021Individual 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1861135.html;89 754 $;2 487 861 грн;Запорожье
Audi A4 2021Basis 40 TFSI S-tronic (190 л.с.);https://auto.ria.com/newauto/auto-audi-a4-1861322.html;44 423 $;1 234 430 грн;Днепр (Днепропетровск)
Audi Q2 202135 TFSI S-Tronic (150 л.с.);https://auto.ria.com/newauto/auto-audi-q2-1860601.html;47 824 $;1 328 924 грн;Днепр (Днепропетровск)
Audi SQ7 2021Basis 4.0 TDI Tip-tronic (435 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-sq7-1833752.html;184 823 $;5 106 158 грн;Киев
Audi Q8 2021S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q8-1861127.html;94 274 $;96 293 $;Запорожье
Audi Q8 2021S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q8-1861123.html;109 212 $;3 027 188 грн;Запорожье
Audi Q7 2021S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1861237.html;91 100 $;2 516 847 грн;Киев
Audi Q3 2021Basis Sportback 35 TFSI S-tronic (150 л.с.);https://auto.ria.com/newauto/auto-audi-q3-1858066.html;45 984 $;1 277 800 грн;Днепр (Днепропетровск)
